ProduitID;NomProduit;Description;PrixUnitaire;FournisseurID
1;Samsung Galaxy S21;Featuring a 6.2-inch dynamic AMOLED display, triple rear cameras, and 8K video recording.;699;4
2;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;129;51
3;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;85;93
4;Levi's Jeans;Classic denim jeans with a straight leg fit, five-pocket styling, and a button fly.;299;8
5;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;999;58
6;Dell XPS 13;13.4-inch FHD+ laptop with 10th Gen Intel Core processors and a stunning HDR 400 display.;299;28
7;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;85;72
8;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;799;90
9;Samsung Galaxy S21;Featuring a 6.2-inch dynamic AMOLED display, triple rear cameras, and 8K video recording.;59;64
10;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;699;47
11;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;999;39
12;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;799;4
13;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;59;53
14;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;799;82
15;Samsung Galaxy S21;Featuring a 6.2-inch dynamic AMOLED display, triple rear cameras, and 8K video recording.;129;8
16;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;699;50
17;iPhone 12;A 6.1-inch smartphone with A14 Bionic chip, dual-camera system, and 5G speed.;399;20
18;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;699;34
19;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;59;13
20;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;699;65
21;Levi's Jeans;Classic denim jeans with a straight leg fit, five-pocket styling, and a button fly.;85;34
22;Dell XPS 13;13.4-inch FHD+ laptop with 10th Gen Intel Core processors and a stunning HDR 400 display.;129;93
23;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;699;18
24;Dell XPS 13;13.4-inch FHD+ laptop with 10th Gen Intel Core processors and a stunning HDR 400 display.;999;34
25;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;699;35
26;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;85;52
27;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;129;91
28;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;129;84
29;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;399;80
30;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;699;4
31;Dell XPS 13;13.4-inch FHD+ laptop with 10th Gen Intel Core processors and a stunning HDR 400 display.;999;2
32;Levi's Jeans;Classic denim jeans with a straight leg fit, five-pocket styling, and a button fly.;299;1
33;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;399;49
34;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;59;92
35;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;799;47
36;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;85;15
37;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;85;88
38;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;799;22
39;Nike Air Max;Running shoes with Max Air cushioning, mesh uppers, and durable rubber outsole.;299;35
40;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;59;95
41;Dell XPS 13;13.4-inch FHD+ laptop with 10th Gen Intel Core processors and a stunning HDR 400 display.;299;13
42;Dyson Vacuum;Cordless vacuum cleaner with strong suction power, multiple attachments, and up to 60 minutes of run time.;59;13
43;KitchenAid Mixer;Stand mixer with 10-speed settings, a tilt-head design, and comes with multiple attachments.;999;91
44;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;399;40
45;Samsung Galaxy S21;Featuring a 6.2-inch dynamic AMOLED display, triple rear cameras, and 8K video recording.;59;94
46;Ralph Lauren Polo Shirt;Signature cotton mesh polo shirt with a ribbed collar, two-button placket, and embroidered logo.;699;86
47;iPhone 12;A 6.1-inch smartphone with A14 Bionic chip, dual-camera system, and 5G speed.;299;14
48;Samsung TV 55';55-inch 4K UHD Smart TV with HDR, Crystal Display, and built-in voice assistants.;699;24
49;Samsung Galaxy S21;Featuring a 6.2-inch dynamic AMOLED display, triple rear cameras, and 8K video recording.;799;67
